candidate	AUROC	AUPRC	balanced_accuracy	mean_fold_AUROC	min_fold_AUROC	n_samples	n_responders	n_nonresponders
0.50*base+0.50*(0.65*pct__PLA2G2D+0.35*z__PIK3CD)	0.7774984286612193	0.6642216086892743	0.6063796354494029	0.7280193490719805	0.6318681318681318	117	43	74
0.65*base+0.35*(0.50*rz__PLA2G2D+0.50*rz__PIK3CD)	0.776869893148963	0.6708210804530335	0.6758328095537398	0.727191521928364	0.6483516483516483	117	43	74
0.65*base+0.35*(0.50*rz__PLA2G2D+0.50*z__PIK3CD)	0.776869893148963	0.6708210804530335	0.6758328095537398	0.727191521928364	0.6483516483516483	117	43	74
0.80*base+0.20*(0.80*z__PLA2G2D+0.20*rz__PIK3CD)	0.7768698931489629	0.667827579542394	0.7118164676304211	0.7462887989203778	0.6923076923076923	117	43	74
0.80*base+0.20*(0.80*z__PLA2G2D+0.20*z__PIK3CD)	0.7768698931489629	0.667827579542394	0.7118164676304211	0.7462887989203778	0.6923076923076923	117	43	74
0.65*base+0.35*(0.35*rz__PLA2G2D+0.65*rz__PIK3CD)	0.7765556253928347	0.6751897364637127	0.6807039597737272	0.7301371143476407	0.6373626373626373	117	43	74
0.65*base+0.35*(0.35*rz__PLA2G2D+0.65*z__PIK3CD)	0.7765556253928347	0.6751897364637127	0.6807039597737272	0.7301371143476407	0.6373626373626373	117	43	74
0.35*base+0.65*(0.50*pct__PLA2G2D+0.50*rz__PIK3CD)	0.7765556253928346	0.6973425043687086	0.6277498428661219	0.7145538671854461	0.5824175824175823	117	43	74
0.35*base+0.65*(0.50*pct__PLA2G2D+0.50*z__PIK3CD)	0.7765556253928346	0.6973425043687086	0.6277498428661219	0.7145538671854461	0.5824175824175823	117	43	74
0.80*base+0.20*(0.65*z__PLA2G2D+0.35*pct__PIK3CD)	0.7765556253928346	0.6707087053991794	0.7399434318038969	0.7514894462262882	0.7032967032967032	117	43	74
0.65*base+0.35*(0.50*z__PLA2G2D+0.50*rz__PIK3CD)	0.7759270898805782	0.6743777679742284	0.6698617221873036	0.7295838664259717	0.6483516483516483	117	43	74
0.65*base+0.35*(0.50*z__PLA2G2D+0.50*z__PIK3CD)	0.7759270898805782	0.6743777679742284	0.6698617221873036	0.7295838664259717	0.6483516483516483	117	43	74
0.65*base+0.35*(0.65*rz__PLA2G2D+0.35*rz__PIK3CD)	0.77561282212445	0.6656247659777019	0.642049025769956	0.7282828282828282	0.6538461538461537	117	43	74
0.65*base+0.35*(0.65*rz__PLA2G2D+0.35*z__PIK3CD)	0.77561282212445	0.6656247659777019	0.642049025769956	0.7282828282828282	0.6538461538461537	117	43	74
0.65*base+0.35*(0.35*z__PLA2G2D+0.65*rz__PIK3CD)	0.7756128221244499	0.6789045561445253	0.6953174104336894	0.73093456251351	0.6373626373626373	117	43	74
0.65*base+0.35*(0.35*z__PLA2G2D+0.65*z__PIK3CD)	0.7756128221244499	0.6789045561445253	0.6953174104336894	0.73093456251351	0.6373626373626373	117	43	74
