holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE168204	signed_TIDE_exclusion	0.44996120777370774	0.3557924297565016	0.535881998795906	0.4101158166213208	0.49454492920132814
GSE168204	signed_ESCS	0.40672758954008953	0.3242960046096576	0.5406381697772427	0.2620093829048197	0.4499742982594345
GSE176307	immune_top5	0.6247201872201872	0.512409047093192	0.6101190476190476	0.3752829351580028	0.6808465919557991
GSE176307	tcell_checkpoint	0.607186100936101	0.5074924567683167	0.6034798534798536	0.3520582076360092	0.6627347164485096
GSE176307	immune_mean	0.6010225885225886	0.4964842428744832	0.5942078754578755	0.3880430296215626	0.6555571944392066
GSE176307	top5_minus_stroma_myeloid	0.5089718152218152	0.43183149491050016	0.5449862637362637	0.5276658126881957	0.5578127031541534
GSE176307	immune_minus_suppressive	0.4903006715506716	0.42862458594401004	0.5517399267399268	0.30614142656512944	0.5393188971848685
GSE176307	suppression_inverse	0.36033017908017906	0.3688232698526718	0.5384615384615384	0.23393242977999856	0.4056944194958896
GSE176307	signed_TIG	0.6040572853072853	0.4871904324763262	0.5756639194139195	0.451754230383884	0.6572000029017976
GSE176307	signed_TIDE_dysfunction	0.596700752950753	0.5065600984972749	0.5874542124542125	0.6376886597146987	0.6514014684983274
GSE176307	signed_IFNG	0.6142017704517705	0.5080831965767494	0.5967261904761905	0.6103542268460946	0.6694422398044175
GSE176307	signed_PDCD1LG2	0.6350986975986976	0.5450504150531978	0.6008470695970696	0.4293178234548257	0.6923935718312111
GSE176307	signed_CXCL9	0.5629960317460317	0.45789609559360106	0.5942078754578755	0.4154233971029386	0.6156012302986056
GSE176307	signed_MCP_CD8_T	0.5657941595441595	0.46950119784089867	0.5942078754578755	0.3860111033098297	0.6189796132090981
GSE176307	signed_APM	0.6074811762311763	0.5000929874296299	0.5741758241758241	0.5888784930795637	0.661194616811449
GSE176307	signed_PDL1_CD274	0.5908068783068783	0.4801537568467518	0.56753663003663	0.5230191928646079	0.6431913976510474
GSE176307	signed_IMPRES_template	0.5950447700447701	0.5075439988260253	0.5808150183150184	0.6173861557325774	0.6494627209018222
GSE176307	signed_HLA_DRA	0.608440170940171	0.5141940523133599	0.5967261904761905	0.6178966994905185	0.6639861830796485
GSE176307	signed_CTLA4	0.5302503052503053	0.465019912032851	0.5927197802197802	0.49651815961644086	0.5831372898629368
GSE176307	signed_CYT	0.5399979649979649	0.4643144497229542	0.5875686813186813	0.36378188329857736	0.5925921215500467
